result_id,content,matched_categories
3747,"19970405053338/http://www.kidpub.org:80/kidpub/grandmas-kiss.html
Grandma's Kiss  ","explicit_age_child_references, topic_mixing_markers, youth_slang_informality, non_standard_spelling, age_identity_claims"
3753,"19970405054107/http://www.kidpub.org:80/kidpub/Poison-TenderHeart_AKA_Brittany.html
Poison  ","topic_mixing_markers, explicit_age_child_references, age_identity_claims, non_standard_spelling, youth_slang_informality"
3780,"19970405061045/http://www.kidpub.org:80/kidpub/Albert_FItzacellini_Learns_to_Ski-Paige.html
Albert FItzacellini Learns to Ski  ","non_standard_spelling, youth_slang_informality, age_identity_claims, explicit_age_child_references, topic_mixing_markers"
3941,"19970405074011/http://www.kidpub.org:80/kidpub/the_missfit-Beckky_Swiger.html
the missfit  ","explicit_age_child_references, topic_mixing_markers, non_standard_spelling, youth_slang_informality, age_identity_claims"
3957,"19970405075107/http://www.kidpub.org:80/kidpub/Lulu-Jennie.html
Lulu  ","non_standard_spelling, youth_slang_informality, explicit_age_child_references, age_identity_claims, topic_mixing_markers"
3974,"19970405082151/http://www.kidpub.org:80/kidpub/Pluto__Romeo___Juliet_in_the_36th_Century_-Daniel_Bernsons.html
Pluto (Romeo & Juliet in the 36th Century)  ","non_standard_spelling, youth_slang_informality, topic_mixing_markers, age_identity_claims, explicit_age_child_references"
4013,"19970405092713/http://www.kidpub.org:80/kidpub/Sisters__And_Best_Friends-Erin_and_Samantha_Klinger.html
Sisters..And Best Friends  ","non_standard_spelling, explicit_age_child_references, age_identity_claims, topic_mixing_markers, youth_slang_informality"
4056,"19970405110055/http://www.kidpub.org:80/kidpub/Me_and_my_dad-Jennifer_Steinhauser.html
Me and my dad  ","explicit_age_child_references, youth_slang_informality, age_identity_claims, topic_mixing_markers, non_standard_spelling"
4059,"19970405110339/http://www.kidpub.org:80/kidpub/THE_LITTLE_YOUNG_GIRL-Courtney_Nicole_Murray.html
THE LITTLE YOUNG GIRL  ","explicit_age_child_references, topic_mixing_markers, youth_slang_informality, non_standard_spelling, age_identity_claims"
4103,"19970405115300/http://www.kidpub.org:80/kidpub/I_AM_A_WOMAN-JAMORA.html
I AM A WOMAN  ","explicit_age_child_references, youth_slang_informality, age_identity_claims, non_standard_spelling, topic_mixing_markers"
4264,"19970405155134/http://www.kidpub.org:80/kidpub/Special-Christine_Gordon.html
Special  ","topic_mixing_markers, age_identity_claims, non_standard_spelling, explicit_age_child_references, youth_slang_informality"
4281,"19970405161839/http://www.kidpub.org:80/kidpub/The_Magic_Unicorn-Antonia_Rose_Briones.html
The Magic Unicorn  ","topic_mixing_markers, age_identity_claims, youth_slang_informality, explicit_age_child_references, non_standard_spelling"
4346,"19970405180257/http://www.kidpub.org:80/kidpub/THE_BEAST_THAT_EATS_KIDS_FOR_BREAKFAST___-Timothy_Brazeal.html
THE BEAST THAT EATS KIDS FOR BREAKFAST!!!  ","non_standard_spelling, topic_mixing_markers, youth_slang_informality, age_identity_claims, explicit_age_child_references"
6045,"20010505010653/http://www.kidlink.org:80/english/wai/kidswork/where2.html
![*](logo-tiny.gif) | **W here  Do I Live?  ","explicit_age_child_references, age_identity_claims, topic_mixing_markers, non_standard_spelling, youth_slang_informality"
6053,"20030201092159/http://www.kidlink.org:80/english/general/k/index.html
![](/english/general/k/Movie21.gif)  ","topic_mixing_markers, explicit_age_child_references, age_identity_claims, youth_slang_informality, non_standard_spelling"
6171,"20040701012311/http://www.kidlink.org:80/KIDPROJ/Eyes98/li5.html
** LETTER OF INTRODUCTION** Centro Cultural Brasil Estados Unidos, Sao Paulo, Brazil","explicit_age_child_references, age_identity_claims, non_standard_spelling, youth_slang_informality, topic_mixing_markers"
6205,"20040701022600/http://www.kidlink.org:80/KIDPROJ/Capitals97/introductions.html
![](world5.gif)   ","age_identity_claims, explicit_age_child_references, youth_slang_informality, topic_mixing_markers, non_standard_spelling"
